config_name,lwe_dimension,glwe_dimension,polynomial_size,lwe_noise_tag,lwe_gaussian_std,lwe_tuniform_bound_log2,glwe_noise_tag,glwe_gaussian_std,glwe_tuniform_bound_log2,pbs_base_log,pbs_level,ks_base_log,ks_level,message_modulus,carry_modulus,max_noise_level,log2_p_fail,modulus_power_of_2_exponent,encryption_key_choice,ms_tag,ms_modulus_switch_zeros_count,ms_bound,ms_r_sigma_factor,ms_input_variance
SHORTINT_V0_11_PARAM_MESSAGE_5_CARRY_3_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,1109,1,32768,0,3.09115e-08,0,0,2.1684e-19,0,11,3,2,11,32,8,8,-64.004,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_5_CARRY_3_KS_PBS_GAUSSIAN_2M64,1109,1,32768,0,3.09115e-08,0,0,2.1684e-19,0,11,3,2,11,32,8,8,-64.004,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_6_CARRY_0_KS_PBS_GAUSSIAN_2M64,1005,1,8192,0,1.85952e-07,0,0,2.1684e-19,0,22,1,3,7,64,1,1,-64.034,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_6_CARRY_1_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,1051,1,16384,0,8.40851e-08,0,0,2.1684e-19,0,15,2,3,7,64,2,2,-64.031,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_6_CARRY_1_KS_PBS_GAUSSIAN_2M64,1051,1,16384,0,8.40851e-08,0,0,2.1684e-19,0,15,2,3,7,64,2,2,-64.031,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_6_CARRY_2_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,1111,1,32768,0,2.98631e-08,0,0,2.1684e-19,0,15,2,1,22,64,4,4,-64.007,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_6_CARRY_2_KS_PBS_GAUSSIAN_2M64,1111,1,32768,0,2.98631e-08,0,0,2.1684e-19,0,15,2,1,22,64,4,4,-64.007,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_7_CARRY_0_KS_PBS_GAUSSIAN_2M64,1051,1,16384,0,8.40851e-08,0,0,2.1684e-19,0,15,2,3,7,128,1,1,-64.042,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_7_CARRY_1_COMPACT_PK_KS_PBS_GAUSSIAN_2M64,1116,1,32768,0,2.73949e-08,0,0,2.1684e-19,0,15,2,2,11,128,2,2,-64.017,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_7_CARRY_1_KS_PBS_GAUSSIAN_2M64,1116,1,32768,0,2.73949e-08,0,0,2.1684e-19,0,15,2,2,11,128,2,2,-64.017,64,Big,0,0,0,0,0
SHORTINT_V0_11_PARAM_MESSAGE_8_CARRY_0_KS_PBS_GAUSSIAN_2M64,1110,1,32768,0,3.03828e-08,0,0,2.1684e-19,0,15,2,2,11,256,1,1,-64.011,64,Big,0,0,0,0,0
